,Nom,trajet,steps,type,distance,time,vehicule_type
69,Angers-Paris Saint-Germain route 4,Angers;-Paris Saint-Germain,['Angers Saint-Laud;-Gare Montparnasse'],['TGV INOUI'],['298 km'],[5820],['HIGH_SPEED_TRAIN']
70,Angers-Paris Saint-Germain route 5,Angers;-Paris Saint-Germain,['Angers Saint-Laud;-Gare Montparnasse'],['TGV INOUI'],['298 km'],[5820],['HIGH_SPEED_TRAIN']
71,Angers-Paris Saint-Germain route 6,Angers;-Paris Saint-Germain,['Angers Saint-Laud;-Gare Montparnasse'],['TGV INOUI'],['298 km'],[5820],['HIGH_SPEED_TRAIN']
72,Angers-Reims route 1,Angers;-Reims,"['Angers Saint-Laud;-Gare Montparnasse', ""Gare de l'Est;-Champagne-Ardenne TGV""]","['TGV INOUI', 'TGV INOUI']","['298 km', '136 km']","[5820, 2400]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']"
73,Angers-Reims route 2,Angers;-Reims,"['Angers Saint-Laud;-Gare Montparnasse', ""Gare de l'Est;-Reims"", ""Reims;-Franchet d'Esperey""]","['TGV INOUI', 'TGV INOUI', 'TER']","['298 km', '146 km', '2.2 km']","[5820, 2760, 180]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN', 'HEAVY_RAIL']"
74,Angers-Reims route 3,Angers;-Reims,"['Angers Saint-Laud;-Gare Montparnasse', ""Gare de l'Est;-Reims"", ""Reims;-Franchet d'Esperey""]","['TGV INOUI', 'TGV INOUI', 'TER']","['298 km', '146 km', '2.2 km']","[5820, 2760, 180]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN', 'HEAVY_RAIL']"
75,Angers-Reims route 4,Angers;-Reims,"['Angers Maître École;-Angers Saint-Laud', 'Angers Saint-Laud;-Gare Montparnasse', ""Gare de l'Est;-Reims"", ""Reims;-Franchet d'Esperey""]","['TER', 'TGV INOUI', 'TGV INOUI', 'TER']","['1.9 km', '298 km', '146 km', '2.2 km']","[180, 5820, 2760, 180]","['HEAVY_RAIL', 'HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN', 'HEAVY_RAIL']"
76,Angers-Reims route 5,Angers;-Reims,"['Angers Saint-Laud;-Champagne-Ardenne TGV', ""Champagne-Ardenne TGV;-Franchet d'Esperey""]","['TGV INOUI', 'TER']","['488 km', '7.7 km']","[11460, 420]","['HIGH_SPEED_TRAIN', 'HEAVY_RAIL']"
77,Angers-Reims route 6,Angers;-Reims,"['Angers Saint-Laud;-Gare Montparnasse', ""Gare de l'Est;-Reims"", ""Reims;-Franchet d'Esperey""]","['TGV INOUI', 'TGV INOUI', 'TER']","['298 km', '146 km', '2.2 km']","[5820, 2760, 120]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN', 'HEAVY_RAIL']"
78,Angers-Rennes route 1,Angers;-Rennes,"['Angers Saint-Laud;-Nantes', 'Nantes;-Rennes']","['TGV INOUI', 'TER02']","['87.3 km', '149 km']","[2160, 4560]","['HIGH_SPEED_TRAIN', 'HEAVY_RAIL']"
79,Angers-Rennes route 2,Angers;-Rennes,"['Angers Saint-Laud;-Nantes', 'Nantes;-Rennes']","['TGV INOUI', 'TER02']","['87.3 km', '149 km']","[2160, 4560]","['HIGH_SPEED_TRAIN', 'HEAVY_RAIL']"
80,Angers-Rennes route 3,Angers;-Rennes,"['Angers Saint-Laud;-Nantes', 'Nantes;-Rennes']","['TGV INOUI', 'TER02']","['87.3 km', '149 km']","[2160, 4560]","['HIGH_SPEED_TRAIN', 'HEAVY_RAIL']"
81,Angers-Rennes route 4,Angers;-Rennes,"['Angers Saint-Laud;-Nantes', 'Nantes;-Rennes']","['TGV INOUI', 'TER02']","['87.3 km', '149 km']","[2160, 4560]","['HIGH_SPEED_TRAIN', 'HEAVY_RAIL']"
82,Angers-Rennes route 5,Angers;-Rennes,['Angers Saint-Laud;-Rennes'],['TER28'],['173 km'],[5580],['HEAVY_RAIL']
83,Angers-Rennes route 6,Angers;-Rennes,"['Angers Saint-Laud;-Nantes', 'Nantes;-Rennes']","['TER28', 'TER02']","['87.3 km', '149 km']","[2520, 4560]","['HEAVY_RAIL', 'HEAVY_RAIL']"
84,Angers-Strasbourg route 1,Angers;-Strasbourg,"['Angers Saint-Laud;-Gare Montparnasse', ""Gare de l'Est;-Strasbourg""]","['TGV INOUI', 'ICE']","['298 km', '438 km']","[5820, 6360]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']"
85,Angers-Strasbourg route 2,Angers;-Strasbourg,"['Angers Saint-Laud;-Gare Montparnasse', ""Gare de l'Est;-Strasbourg""]","['TGV INOUI', 'TGV INOUI']","['298 km', '438 km']","[5820, 6360]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']"
86,Angers-Strasbourg route 3,Angers;-Strasbourg,"['Angers Saint-Laud;-Gare Montparnasse', ""Gare de l'Est;-Strasbourg""]","['TGV INOUI', 'ICE']","['298 km', '438 km']","[5820, 6360]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']"
87,Angers-Strasbourg route 4,Angers;-Strasbourg,"['Angers Saint-Laud;-Gare Montparnasse', ""Gare de l'Est;-Strasbourg""]","['TGV INOUI', 'TGV INOUI']","['298 km', '438 km']","[5820, 6360]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']"
88,Angers-Strasbourg route 5,Angers;-Strasbourg,"['Angers Saint-Laud;-Gare Montparnasse', ""Gare de l'Est;-Strasbourg""]","['TGV INOUI', 'ICE']","['298 km', '438 km']","[5820, 6360]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN']"
89,Angers-Strasbourg route 6,Angers;-Strasbourg,"['Angers Saint-Laud;-Gare Montparnasse', ""Gare de l'Est;-Strasbourg"", 'Strasbourg;-Krimmeri-Meinau']","['TGV INOUI', 'ICE', 'TER']","['298 km', '438 km', '3.2 km']","[5820, 6360, 240]","['HIGH_SPEED_TRAIN', 'HIGH_SPEED_TRAIN', 'HEAVY_RAIL']"
90,Angers-Saint-Étienne route 1,Angers;-Saint-Étienne,"['Angers Saint-Laud;-Gare Montparnasse', 'Gare de Lyon;-Lyon Part Dieu', 'Lyon Part Dieu;-St-Etienne-Châteaucreux']","['TGV INOUI', 'FR', 'TER']","['298 km', '431 km', '59.8 km']","[5820, 6900, 2820]","['HIGH_SPEED_TRAIN', 'HEAVY_RAIL', 'HEAVY_RAIL']"
